Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
8.NS.1,Math,8,NS,,"Know that there are numbers that are not rational, and approximate them by rational numbers.",1,,The Number System,,"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number."
8.NS.2,Math,8,NS,,"Know that there are numbers that are not rational, and approximate them by rational numbers.",2,,The Number System,,"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., ?^2). For example, by truncating the decimal expansion of &radic;2 (square root of 2), show that &radic;2 is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations."
8.EE.1,Math,8,EE,,Work with radicals and integer exponents.,1,,Expressions and Equations,,"Know and apply the properties of integer exponents to generate equivalent numerical expressions. For example, 3^2 _ 3^(-5) = 3^(-3) = 1/(3^3) = 1/27."
8.EE.2,Math,8,EE,,Work with radicals and integer exponents.,2,,Expressions and Equations,,"Use square root and cube root symbols to represent solutions to equations of the form x^2 = p and x^3 = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that &radic;2 is irrational."
8.EE.3,Math,8,EE,,Work with radicals and integer exponents.,3,,Expressions and Equations,,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other. For example, estimate the population of the United States as 3 _ 10^8 and the population of the world as 7 _ 10^9, and determine that the world population is more than 20 times larger."
8.EE.4,Math,8,EE,,Work with radicals and integer exponents.,4,,Expressions and Equations,,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology."
8.EE.5,Math,8,EE,,"Understand the connections between proportional relationships, lines, and linear equations.",5,,Expressions and Equations,,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed."
8.EE.6,Math,8,EE,,"Understand the connections between proportional relationships, lines, and linear equations.",6,,Expressions and Equations,,Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y =mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.
8.EE.7,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,7,,Expressions and Equations,,Solve linear equations in one variable.
8.EE.7a,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,7,a,Expressions and Equations,,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers)."
8.EE.7b,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,7,b,Expressions and Equations,,"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms."
8.EE.8,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,8,,Expressions and Equations,,Analyze and solve pairs of simultaneous linear equations.
8.EE.8a,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,8,a,Expressions and Equations,,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously."
8.EE.8b,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,8,b,Expressions and Equations,,"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6."
8.EE.8c,Math,8,EE,,Analyze and solve linear equations and pairs of simultaneous linear equations.,8,c,Expressions and Equations,,"Solve real-world and mathematical problems leading to two linear equations in two variables. For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pair."
8.F.1,Math,8,F,,"Define, evaluate, and compare functions.",1,,Functions,,Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output. (Function notation is not required in Grade 8.)
8.F.2,Math,8,F,,"Define, evaluate, and compare functions.",2,,Functions,,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change."
8.F.3,Math,8,F,,"Define, evaluate, and compare functions.",3,,Functions,,"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear. For example, the function A = s^2 giving the area of a square as a function of its side length is not linear because its graph contains the points (1,1), (2,4) and (3,9), which are not on a straight line."
8.F.4,Math,8,F,,Use functions to model relationships between quantities.,4,,Functions,,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values."
8.F.5,Math,8,F,,Use functions to model relationships between quantities.,5,,Functions,,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally."
8.G.1,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",1,,Geometry,,"Verify experimentally the properties of rotations, reflections, and translations:"
8.G.1a,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",1,a,Geometry,,"Lines are taken to lines, and line segments to line segments of the same length."
8.G.1b,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",1,b,Geometry,,Angles are taken to angles of the same measure.
8.G.1c,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",1,c,Geometry,,Parallel lines are taken to parallel lines.
8.G.2,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",2,,Geometry,,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them."
8.G.3,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",3,,Geometry,,"Describe the effect of dilations, translations, rotations and reflections on two-dimensional figures using coordinates."
8.G.4,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",4,,Geometry,,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them."
8.G.5,Math,8,G,,"Understand congruence and similarity using physical models, transparencies, or geometry software.",5,,Geometry,,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. For example, arrange three copies of the same triangle so that the three angles appear to form a line, and give an argument in terms of transversals why this is so."
8.G.6,Math,8,G,,Understand and apply the Pythagorean Theorem.,6,,Geometry,,Explain a proof of the Pythagorean Theorem and its converse.
8.G.7,Math,8,G,,Understand and apply the Pythagorean Theorem.,7,,Geometry,,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.
