Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
3.OA.1,Math,3,OA,,Represent and solve problems involving multiplication and division.,1,,Operations and Algebraic Thinking,,"Interpret products of whole numbers, e.g., interpret 5 _ 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 _ 7."
3.OA.2,Math,3,OA,,Represent and solve problems involving multiplication and division.,2,,Operations and Algebraic Thinking,,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 &divide; 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 &divide; 8."
3.OA.3,Math,3,OA,,Represent and solve problems involving multiplication and division.,3,,Operations and Algebraic Thinking,,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
3.OA.4,Math,3,OA,,Represent and solve problems involving multiplication and division.,4,,Operations and Algebraic Thinking,,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 _ ? = 48, 5 = __&divide; 3, 6 _ 6 = ?."
3.OA.5,Math,3,OA,,Understand properties of multiplication and the relationship between multiplication and division.,5,,Operations and Algebraic Thinking,,"Apply properties of operations as strategies to multiply and divide. Examples: If 6 _ 4 = 24 is known, then 4 _ 6 = 24 is also known. (Commutative property of multiplication.) 3 _ 5 _ 2 can be found by 3 _ 5 = 15 then 15 _ 2 = 30, or by 5 _ 2 = 10 then 3 _ 10 = 30. (Associative property of multiplication.) Knowing that 8 _ 5 = 40 and 8 _ 2 = 16, one can find 8 _ 7 as 8 _ (5 + 2) = (8 _ 5) + (8 _ 2) = 40 + 16 = 56. (Distributive property.) (Students need not use formal terms for these properties.)"
3.OA.6,Math,3,OA,,Understand properties of multiplication and the relationship between multiplication and division.,6,,Operations and Algebraic Thinking,,"Understand division as an unknown-factor problem. For example, divide 32 &divide; 8 by finding the number that makes 32 when multiplied by 8."
3.OA.7,Math,3,OA,,Multiply and divide within 100.,7,,Operations and Algebraic Thinking,,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 _ 5 = 40, one knows 40 &divide; 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of one-digit numbers."
3.OA.8,Math,3,OA,,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",8,,Operations and Algebraic Thinking,,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole-number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)
3.OA.9,Math,3,OA,,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",9,,Operations and Algebraic Thinking,,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends."
3.NBT.1,Math,3,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,1,,Number and Operations in Base Ten,,Use place value understanding to round whole numbers to the nearest 10 or 100.
3.NBT.2,Math,3,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,2,,Number and Operations in Base Ten,,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction. (A range of algorithms may be used.)"
3.NBT.3,Math,3,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,,Number and Operations in Base Ten,,"Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 _ 80, 5 _ 60) using strategies based on place value and properties of operations. (A range of algorithms may be used.)"
3.NF.1,Math,3,NF,,Develop understanding of fractions as numbers.,1,,Number and Operations--Fractions,,"Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.2,Math,3,NF,,Develop understanding of fractions as numbers.,2,,Number and Operations--Fractions,,Understand a fraction as a number on the number line; represent fractions on a number line diagram.
3.NF.2a,Math,3,NF,,Develop understanding of fractions as numbers.,2,a,Number and Operations--Fractions,,"Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.2b,Math,3,NF,,Develop understanding of fractions as numbers.,2,b,Number and Operations--Fractions,,"Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.3,Math,3,NF,,Develop understanding of fractions as numbers.,3,,Number and Operations--Fractions,,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."
3.NF.3a,Math,3,NF,,Develop understanding of fractions as numbers.,3,a,Number and Operations--Fractions,,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.3b,Math,3,NF,,Develop understanding of fractions as numbers.,3,b,Number and Operations--Fractions,,"Recognize and generate simple equivalent fractions (e.g., 1/2 = 2/4, 4/6 = 2/3), Explain why the fractions are equivalent, e.g., by using a visual fraction model. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.3c,Math,3,NF,,Develop understanding of fractions as numbers.,3,c,Number and Operations--Fractions,,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.NF.3d,Math,3,NF,,Develop understanding of fractions as numbers.,3,d,Number and Operations--Fractions,,"Compare two fractions with the same numerator or the same denominator, by reasoning about their size, Recognize that valid comparisons rely on the two fractions referring to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3.MD.1,Math,3,MD,,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",1,,Measurement and Data,,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
3.MD.2,Math,3,MD,,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",2,,Measurement and Data,,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). (Excludes compound units such as cm^3 and finding the geometric volume of a container.) Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem. (Excludes multiplicative comparison problems (problems involving notions of ""times as much."")"
3.MD.3,Math,3,MD,,Represent and interpret data.,3,,Measurement and Data,,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."
3.MD.4,Math,3,MD,,Represent and interpret data.,4,,Measurement and Data,,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate unitsÑwhole numbers, halves, or quarters."
3.MD.5,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,5,,Measurement and Data,,Geometric measurement: Recognize area as an attribute of plane figures and understand concepts of area measurement.
3.MD.5a,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,5,a,Measurement and Data,,"A square with side length 1 unit, called ""a unit square"", is said to have ""one square unit"" of area, and can be used to measure area."
3.MD.5b,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,5,b,Measurement and Data,,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.
3.MD.6,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,6,,Measurement and Data,,"Geometric measurement: Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
3.MD.7,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,7,,Measurement and Data,,Geometric measurement: Relate area to the operations of multiplication and addition.
3.MD.7a,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,7,a,Measurement and Data,,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
3.MD.7b,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,7,b,Measurement and Data,,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
3.MD.7c,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,7,c,Measurement and Data,,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a _ b and a _ c. Use area models to represent the distributive property in mathematical reasoning.
3.MD.7d,Math,3,MD,,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,7,d,Measurement and Data,,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
