Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
4.OA.1,Math,4,OA,,Use the four operations with whole numbers to solve problems.,1,,Operations and Algebraic Thinking,,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 x 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."
4.OA.2,Math,4,OA,,Use the four operations with whole numbers to solve problems.,2,,Operations and Algebraic Thinking,,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison."
4.OA.3,Math,4,OA,,Use the four operations with whole numbers to solve problems.,3,,Operations and Algebraic Thinking,,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."
4.OA.4,Math,4,OA,,Gain familiarity with factors and multiples.,4,,Operations and Algebraic Thinking,,Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.
4.OA.5,Math,4,OA,,Generate and analyze patterns.,5,,Operations and Algebraic Thinking,,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ""Add 3"" and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way."
4.NBT.1,Math,4,NBT,,Generalize place value understanding for multi-digit whole numbers.,1,,Number and Operations in Base Ten,,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 &divide; 70 = 10 by applying concepts of place value and division. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4.NBT.2,Math,4,NBT,,Generalize place value understanding for multi-digit whole numbers.,2,,Number and Operations in Base Ten,,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4.NBT.3,Math,4,NBT,,Generalize place value understanding for multi-digit whole numbers.,3,,Number and Operations in Base Ten,,"Use place value understanding to round multi-digit whole numbers to any place. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4.NBT.4,Math,4,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,4,,Number and Operations in Base Ten,,"Fluently add and subtract multi-digit whole numbers using the standard algorithm. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4.NBT.5,Math,4,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,5,,Number and Operations in Base Ten,,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4.NBT.6,Math,4,NBT,,Use place value understanding and properties of operations to perform multi-digit arithmetic.,6,,Number and Operations in Base Ten,,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4.NF.1,Math,4,NF,,Extend understanding of fraction equivalence and ordering.,1,,Number and Operations--Fractions,,"Explain why a fraction a/b is equivalent to a fraction (n _ a)/(n _ b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions. (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
4.NF.2,Math,4,NF,,Extend understanding of fraction equivalence and ordering.,2,,Number and Operations--Fractions,,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model. (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
4.NF.3,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,3,,Number and Operations--Fractions,,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.
4.NF.3a,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,3,a,Number and Operations--Fractions,,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.
4.NF.3b,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,3,b,Number and Operations--Fractions,,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8 ; 3/8 = 1/8 + 2/8 ; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8."
4.NF.3c,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,3,c,Number and Operations--Fractions,,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction."
4.NF.3d,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,3,d,Number and Operations--Fractions,,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem."
4.NF.4,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,,Number and Operations--Fractions,,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
4.NF.4a,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,a,Number and Operations--Fractions,,"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 _ (1/4), recording the conclusion by the equation 5/4 = 5 _ (1/4)."
4.NF.4b,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,b,Number and Operations--Fractions,,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 _ (2/5) as 6 _ (1/5), recognizing this product as 6/5. (In general, n _ (a/b) = (n _ a)/b.)"
4.NF.4c,Math,4,NF,,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,4,c,Number and Operations--Fractions,,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?"
4.NF.5,Math,4,NF,,"Understand decimal notation for fractions, and compare decimal fractions.",5,,Number and Operations--Fractions,,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100. For example, express 3/10 as 30/100 and add 3/10 + 4/100 = 34/100. (Students who can generate equivalent fractions can develop strategies for adding fractions with unlike denominators in general. But addition and subtraction with unlike denominators in general is not a requirement at this grade.) (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
4.NF.6,Math,4,NF,,"Understand decimal notation for fractions, and compare decimal fractions.",6,,Number and Operations--Fractions,,"Use decimal notation for fractions with denominators 10 or 100. For example, rewrite 0.62 as 62/100 ; describe a length as 0.62 meters; locate 0.62 on a number line diagram. (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
4.NF.7,Math,4,NF,,"Understand decimal notation for fractions, and compare decimal fractions.",7,,Number and Operations--Fractions,,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons comparisons are valid only when two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model. (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
4.MD.1,Math,4,MD,,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,1,,Measurement and Data,,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example: Know that 1 ft is 12 times as long as 1 in. Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1, 12), (2, 24), (3, 36), É."
4.MD.2,Math,4,MD,,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,2,,Measurement and Data,,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
