Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
2.OA.1,Math,2,OA,,Represent and solve problems involving addition and subtraction.,1,,Operations and Algebraic Thinking,,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
2.OA.2,Math,2,OA,,Add and subtract within 20.,2,,Operations and Algebraic Thinking,,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers."
2.OA.3,Math,2,OA,,Work with equal groups of objects to gain foundation for multiplication.,3,,Operations and Algebraic Thinking,,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
2.OA.4,Math,2,OA,,Work with equal groups of objects to gain foundation for multiplication.,4,,Operations and Algebraic Thinking,,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
2.NBT.1,Math,2,NBT,,Understand place value.,1,,Number and Operations in Base Ten,,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"
2.NBT.1a,Math,2,NBT,,Understand place value.,1,a,Number and Operations in Base Ten,,"100 can be thought of as a bundle of ten tens - called a ""hundred""."
2.NBT.1b,Math,2,NBT,,Understand place value.,1,b,Number and Operations in Base Ten,,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones."
2.NBT.2,Math,2,NBT,,Understand place value.,2,,Number and Operations in Base Ten,,"Count within 1000; skip-count by 5s, 10s, and 100s."
2.NBT.3,Math,2,NBT,,Understand place value.,3,,Number and Operations in Base Ten,,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
2.NBT.4,Math,2,NBT,,Understand place value.,4,,Number and Operations in Base Ten,,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
2.NBT.5,Math,2,NBT,,Use place value understanding and properties of operations to add and subtract.,5,,Number and Operations in Base Ten,,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
2.NBT.6,Math,2,NBT,,Use place value understanding and properties of operations to add and subtract.,6,,Number and Operations in Base Ten,,Add up to four two-digit numbers using strategies based on place value and properties of operations.
2.NBT.7,Math,2,NBT,,Use place value understanding and properties of operations to add and subtract.,7,,Number and Operations in Base Ten,,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
2.NBT.8,Math,2,NBT,,Use place value understanding and properties of operations to add and subtract.,8,,Number and Operations in Base Ten,,"Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900."
2.NBT.9,Math,2,NBT,,Use place value understanding and properties of operations to add and subtract.,9,,Number and Operations in Base Ten,,"Explain why addition and subtraction strategies work, using place value and the properties of operations. (Explanations may be supported by drawings or objects.)"
2.MD.1,Math,2,MD,,Measure and estimate lengths in standard units.,1,,Measurement and Data,,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
2.MD.2,Math,2,MD,,Measure and estimate lengths in standard units.,2,,Measurement and Data,,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
2.MD.3,Math,2,MD,,Measure and estimate lengths in standard units.,3,,Measurement and Data,,"Estimate lengths using units of inches, feet, centimeters, and meters."
2.MD.4,Math,2,MD,,Measure and estimate lengths in standard units.,4,,Measurement and Data,,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
