Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
7.RP.1,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,1,,Ratios and Proportional Relationships,,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction (1/2)/(1/4) miles per hour, equivalently 2 miles per hour."
7.RP.2,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,2,,Ratios and Proportional Relationships,,Recognize and represent proportional relationships between quantities.
7.RP.2a,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,2,a,Ratios and Proportional Relationships,,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin."
7.RP.2b,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,2,b,Ratios and Proportional Relationships,,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships."
7.RP.2c,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,2,c,Ratios and Proportional Relationships,,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn."
7.RP.2d,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,2,d,Ratios and Proportional Relationships,,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate."
7.RP.3,Math,7,RP,,Analyze proportional relationships and use them to solve real-world and mathematical problems.,3,,Ratios and Proportional Relationships,,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error."
7.NS.1,Math,7,NS,,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.",1,,The Number System,,Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.
7.NS.1a,Math,7,NS,,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.",1,a,The Number System,,"Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged."
7.NS.1b,Math,7,NS,,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.",1,b,The Number System,,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts."
