Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
3.L.1,Lang/Arts,3,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
3.L.1a,Lang/Arts,3,L,,1,a,Language Standards,Conventions of Standard English,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences."
3.L.1b,Lang/Arts,3,L,,1,b,Language Standards,Conventions of Standard English,Form and use regular and irregular plural nouns.
3.L.1c,Lang/Arts,3,L,,1,c,Language Standards,Conventions of Standard English,"Use abstract nouns (e.g., childhood)."
3.L.1d,Lang/Arts,3,L,,1,d,Language Standards,Conventions of Standard English,Form and use regular and irregular verbs.
3.L.1e,Lang/Arts,3,L,,1,e,Language Standards,Conventions of Standard English,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses."
3.L.1f,Lang/Arts,3,L,,1,f,Language Standards,Conventions of Standard English,Ensure subject-verb and pronoun-antecedent agreement.*
3.L.1g,Lang/Arts,3,L,,1,g,Language Standards,Conventions of Standard English,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified."
3.L.1h,Lang/Arts,3,L,,1,h,Language Standards,Conventions of Standard English,Use coordinating and subordinating conjunctions.
3.L.1i,Lang/Arts,3,L,,1,i,Language Standards,Conventions of Standard English,"Produce simple, compound, and complex sentences."
3.L.2,Lang/Arts,3,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
3.L.2a,Lang/Arts,3,L,,2,a,Language Standards,Conventions of Standard English,Capitalize appropriate words in titles.
3.L.2b,Lang/Arts,3,L,,2,b,Language Standards,Conventions of Standard English,Use commas in addresses.
3.L.2c,Lang/Arts,3,L,,2,c,Language Standards,Conventions of Standard English,Use commas and quotation marks in dialogue.
3.L.2d,Lang/Arts,3,L,,2,d,Language Standards,Conventions of Standard English,Form and use possessives.
3.L.2e,Lang/Arts,3,L,,2,e,Language Standards,Conventions of Standard English,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness)."
3.L.2f,Lang/Arts,3,L,,2,f,Language Standards,Conventions of Standard English,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words."
3.L.2g,Lang/Arts,3,L,,2,g,Language Standards,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
3.L.3,Lang/Arts,3,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
3.L.3a,Lang/Arts,3,L,,3,a,Language Standards,Knowledge of Language,Choose words and phrases for effect.*
3.L.3b,Lang/Arts,3,L,,3,b,Language Standards,Knowledge of Language,Recognize and observe differences between the conventions of spoken and written standard English.
3.L.4,Lang/Arts,3,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies."
3.L.4a,Lang/Arts,3,L,,4,a,Language Standards,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
3.L.4b,Lang/Arts,3,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat)."
