Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
6.L.1,Lang/Arts,6,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
6.L.1a,Lang/Arts,6,L,,1,a,Language Standards,Conventions of Standard English,"Ensure that pronouns are in the proper case (subjective, objective, possessive)."
6.L.1b,Lang/Arts,6,L,,1,b,Language Standards,Conventions of Standard English,"Use intensive pronouns (e.g., myself, ourselves)."
6.L.1c,Lang/Arts,6,L,,1,c,Language Standards,Conventions of Standard English,Recognize and correct inappropriate shifts in pronoun number and person.*
6.L.1d,Lang/Arts,6,L,,1,d,Language Standards,Conventions of Standard English,"Recognize and correct vague pronouns (i.e., ones with unclear or ambiguous antecedents).*"
6.L.1e,Lang/Arts,6,L,,1,e,Language Standards,Conventions of Standard English,"Recognize variations from standard English in their own and others' writing and speaking, and identify and use strategies to improve expression in conventional language."
6.L.2,Lang/Arts,6,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
6.L.2a,Lang/Arts,6,L,,2,a,Language Standards,Conventions of Standard English,"Use punctuation (commas, parentheses, dashes) to set off nonrestrictive/parenthetical elements.*"
6.L.2b,Lang/Arts,6,L,,2,b,Language Standards,Conventions of Standard English,Spell correctly.
6.L.3,Lang/Arts,6,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
6.L.3a,Lang/Arts,6,L,,3,a,Language Standards,Knowledge of Language,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.*"
6.L.3b,Lang/Arts,6,L,,3,b,Language Standards,Knowledge of Language,Maintain consistency in style and tone.*
6.L.4,Lang/Arts,6,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies."
6.L.4a,Lang/Arts,6,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
6.L.4b,Lang/Arts,6,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., audience, auditory, audible)."
6.L.4c,Lang/Arts,6,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
6.L.4d,Lang/Arts,6,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
6.L.5,Lang/Arts,6,L,,5,,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
6.L.5a,Lang/Arts,6,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., personification) in context."
6.L.5b,Lang/Arts,6,L,,5,b,Language Standards,Vocabulary Acquisition and Use,"Use the relationship between particular words (e.g., cause/effect, part/whole, item/category) to better understand each of the words."
6.L.5c,Lang/Arts,6,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., stingy, scrimping, economical, unwasteful, thrifty)."
6.L.6,Lang/Arts,6,L,,6,,Language Standards,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
6.RI.1,Lang/Arts,6,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
6.RI.2,Lang/Arts,6,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
6.RI.3,Lang/Arts,6,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes)."
6.RI.4,Lang/Arts,6,RI,,4,,Reading Standards for Informational Text,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings."
6.RI.5,Lang/Arts,6,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas."
6.RI.6,Lang/Arts,6,RI,,6,,Reading Standards for Informational Text,Craft and Structure,Determine an author’s point of view or purpose in a text and explain how it is conveyed in the text.
6.RI.7,Lang/Arts,6,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue."
6.RI.8,Lang/Arts,6,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not."
6.RI.9,Lang/Arts,6,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Compare and contrast one author’s presentation of events with that of another (e.g., a memoir written by and a biography on the same person)."
6.RI.10,Lang/Arts,6,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
6.RL.1,Lang/Arts,6,RL,,1,,Reading Standards for Literature,Key Ideas and Details,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
6.RL.2,Lang/Arts,6,RL,,2,,Reading Standards for Literature,Key Ideas and Details,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
6.RL.3,Lang/Arts,6,RL,,3,,Reading Standards for Literature,Key Ideas and Details,Describe how a particular story’s or drama’s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.
6.RL.4,Lang/Arts,6,RL,,4,,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone."
6.RL.5,Lang/Arts,6,RL,,5,,Reading Standards for Literature,Craft and Structure,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot."
6.RL.6,Lang/Arts,6,RL,,6,,Reading Standards for Literature,Craft and Structure,Explain how an author develops the point of view of the narrator or speaker in a text.
6.RL.7,Lang/Arts,6,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they “see” and “hear” when reading the text to what they perceive when they listen or watch."
6.RL.9,Lang/Arts,6,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics."
6.RL.10,Lang/Arts,6,RL,,10,,Reading Standards for Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
6.SL.1,Lang/Arts,6,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
6.SL.1a,Lang/Arts,6,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
6.SL.1b,Lang/Arts,6,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,"Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed."
6.SL.1c,Lang/Arts,6,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,"Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion."
6.SL.1d,Lang/Arts,6,SL,,1,d,Speaking and Listening Standards,Comprehension and Collaboration,Review the key ideas expressed and demonstrate understanding of multiple perspectives through reflection and paraphrasing.
6.SL.2,Lang/Arts,6,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,"Interpret information presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how it contributes to a topic, text, or issue under study."
6.SL.3,Lang/Arts,6,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, distinguishing claims that are supported by reasons and evidence from claims that are not."
6.SL.4,Lang/Arts,6,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Present claims and findings, sequencing ideas logically and using pertinent descriptions, facts, and details to accentuate main ideas or themes; use appropriate eye contact, adequate volume, and clear pronunciation."
6.SL.5,Lang/Arts,6,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Include multimedia components (e.g., graphics, images, music, sound) and visual displays in presentations to clarify information."
6.SL.6,Lang/Arts,6,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate. (See grade 6 Language standards 1 and 3 on page 53 for specific expectations.)"
6.W.1,Lang/Arts,6,W,,1,,Writing Standards,Text Types and Purposes,Write arguments to support claims with clear reasons and relevant evidence.
6.W.1a,Lang/Arts,6,W,,1,a,Writing Standards,Text Types and Purposes,Introduce claim(s) and organize the reasons and evidence clearly.
6.W.1b,Lang/Arts,6,W,,1,b,Writing Standards,Text Types and Purposes,"Support claim(s) with clear reasons and relevant evidence, using credible sources and demonstrating an understanding of the topic or text."
6.W.1c,Lang/Arts,6,W,,1,c,Writing Standards,Text Types and Purposes,"Use words, phrases, and clauses to clarify the relationships among claim(s) and reasons."
6.W.1d,Lang/Arts,6,W,,1,d,Writing Standards,Text Types and Purposes,Establish and maintain a formal style.
