Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
2.L.1,Lang/Arts,2,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
2.L.1a,Lang/Arts,2,L,,1,a,Language Standards,Conventions of Standard English,"Use collective nouns (e.g., group)."
2.L.1b,Lang/Arts,2,L,,1,b,Language Standards,Conventions of Standard English,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish)."
2.L.1c,Lang/Arts,2,L,,1,c,Language Standards,Conventions of Standard English,"Use reflexive pronouns (e.g., myself, ourselves)."
2.L.1d,Lang/Arts,2,L,,1,d,Language Standards,Conventions of Standard English,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told)."
2.L.1e,Lang/Arts,2,L,,1,e,Language Standards,Conventions of Standard English,"Use adjectives and adverbs, and choose between them depending on what is to be modified."
2.L.1f,Lang/Arts,2,L,,1,f,Language Standards,Conventions of Standard English,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
2.L.2,Lang/Arts,2,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
2.L.2a,Lang/Arts,2,L,,2,a,Language Standards,Conventions of Standard English,"Capitalize holidays, product names, and geographic names."
2.L.2b,Lang/Arts,2,L,,2,b,Language Standards,Conventions of Standard English,Use commas in greetings and closings of letters.
2.L.2c,Lang/Arts,2,L,,2,c,Language Standards,Conventions of Standard English,Use an apostrophe to form contractions and frequently occurring possessives.
2.L.2d,Lang/Arts,2,L,,2,d,Language Standards,Conventions of Standard English,"Generalize learned spelling patterns when writing words (e.g., cage ? badge; boy ? boil)."
2.L.2e,Lang/Arts,2,L,,2,e,Language Standards,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings"
2.L.3,Lang/Arts,2,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
2.L.3a,Lang/Arts,2,L,,3,a,Language Standards,Knowledge of Language,Compare formal and informal uses of English.
2.L.4,Lang/Arts,2,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
2.L.4a,Lang/Arts,2,L,,4,a,Language Standards,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
2.L.4b,Lang/Arts,2,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell)."
2.L.4c,Lang/Arts,2,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional)."
2.L.4d,Lang/Arts,2,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
2.L.4e,Lang/Arts,2,L,,4,e,Language Standards,Vocabulary Acquisition and Use,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
