Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
7.L.1,Lang/Arts,7,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
7.L.1a,Lang/Arts,7,L,,1,a,Language Standards,Conventions of Standard English,Explain the function of phrases and clauses in general and their function in specific sentences.
7.L.1b,Lang/Arts,7,L,,1,b,Language Standards,Conventions of Standard English,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas."
7.L.1c,Lang/Arts,7,L,,1,c,Language Standards,Conventions of Standard English,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers.*"
7.L.2,Lang/Arts,7,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
7.L.2a,Lang/Arts,7,L,,2,a,Language Standards,Conventions of Standard English,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt)."
7.L.2b,Lang/Arts,7,L,,2,b,Language Standards,Conventions of Standard English,Spell correctly.
7.L.3,Lang/Arts,7,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
7.L.3a,Lang/Arts,7,L,,3,a,Language Standards,Knowledge of Language,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.*"
7.L.4,Lang/Arts,7,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies."
7.L.4a,Lang/Arts,7,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
7.L.4b,Lang/Arts,7,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel)."
7.L.4c,Lang/Arts,7,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
7.L.4d,Lang/Arts,7,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
7.L.5,Lang/Arts,7,L,,5,,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
