Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
5.L.1,Lang/Arts,5,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
5.L.1a,Lang/Arts,5,L,,1,a,Language Standards,Conventions of Standard English,"Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences."
5.L.1b,Lang/Arts,5,L,,1,b,Language Standards,Conventions of Standard English,"Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses."
5.L.1c,Lang/Arts,5,L,,1,c,Language Standards,Conventions of Standard English,"Use verb tense to convey various times, sequences, states, and conditions."
5.L.1d,Lang/Arts,5,L,,1,d,Language Standards,Conventions of Standard English,Recognize and correct inappropriate shifts in verb tense.*
5.L.1e,Lang/Arts,5,L,,1,e,Language Standards,Conventions of Standard English,"Use correlative conjunctions (e.g., either/or, neither/nor)."
5.L.2,Lang/Arts,5,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
5.L.2a,Lang/Arts,5,L,,2,a,Language Standards,Conventions of Standard English,Use punctuation to separate items in a series.*
5.L.2b,Lang/Arts,5,L,,2,b,Language Standards,Conventions of Standard English,Use a comma to separate an introductory element from the rest of the sentence.
5.L.2c,Lang/Arts,5,L,,2,c,Language Standards,Conventions of Standard English,"Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It’s true, isn’t it?), and to indicate direct address (e.g., Is that you, Steve?)."
5.L.2d,Lang/Arts,5,L,,2,d,Language Standards,Conventions of Standard English,"Use underlining, quotation marks, or italics to indicate titles of works."
5.L.2e,Lang/Arts,5,L,,2,e,Language Standards,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed."
5.L.3,Lang/Arts,5,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
5.L.3a,Lang/Arts,5,L,,3,a,Language Standards,Knowledge of Language,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style."
5.L.3b,Lang/Arts,5,L,,3,b,Language Standards,Knowledge of Language,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems."
5.L.4,Lang/Arts,5,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies."
5.L.4a,Lang/Arts,5,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase."
5.L.4b,Lang/Arts,5,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
5.L.4c,Lang/Arts,5,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
5.L.5,Lang/Arts,5,L,,5,,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
5.L.5a,Lang/Arts,5,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Interpret figurative language, including similes and metaphors, in context."
5.L.5b,Lang/Arts,5,L,,5,b,Language Standards,Vocabulary Acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs."
5.L.5c,Lang/Arts,5,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
5.L.6,Lang/Arts,5,L,,6,,Language Standards,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
5.RF.3,Lang/Arts,5,RF,,3,,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
5.RF.3a,Lang/Arts,5,RF,,3,a,Reading Standards: Foundational Skills,Phonics and Word Recognition,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context."
5.RF.4,Lang/Arts,5,RF,,4,,Reading Standards: Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
5.RF.4a,Lang/Arts,5,RF,,4,a,Reading Standards: Foundational Skills,Fluency,Read grade-level text with purpose and understanding.
5.RF.4b,Lang/Arts,5,RF,,4,b,Reading Standards: Foundational Skills,Fluency,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression."
5.RF.4c,Lang/Arts,5,RF,,4,c,Reading Standards: Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
5.RI.1,Lang/Arts,5,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5.RI.2,Lang/Arts,5,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text.
5.RI.3,Lang/Arts,5,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text."
5.RI.4,Lang/Arts,5,RI,,4,,Reading Standards for Informational Text,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area.
5.RI.5,Lang/Arts,5,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts."
5.RI.6,Lang/Arts,5,RI,,6,,Reading Standards for Informational Text,Craft and Structure,"Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
5.RI.7,Lang/Arts,5,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently."
5.RI.8,Lang/Arts,5,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s)."
5.RI.9,Lang/Arts,5,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.
5.RI.10,Lang/Arts,5,RI,,10,,Reading Standards for Informational Text,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4–5 text complexity band independently and proficiently."
5.RL.1,Lang/Arts,5,RL,,1,,Reading Standards for Literature,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5.RL.2,Lang/Arts,5,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text."
5.RL.3,Lang/Arts,5,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact)."
5.RL.4,Lang/Arts,5,RL,,4,,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes."
5.RL.5,Lang/Arts,5,RL,,5,,Reading Standards for Literature,Craft and Structure,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem."
5.RL.6,Lang/Arts,5,RL,,6,,Reading Standards for Literature,Craft and Structure,Describe how a narrator’s or speaker’s point of view influences how events are described.
5.RL.7,Lang/Arts,5,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel; multimedia presentation of fiction, folktale, myth, poem)."
5.RL.9,Lang/Arts,5,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics."
5.RL.10,Lang/Arts,5,RL,,10,,Reading Standards for Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4–5 text complexity band independently and proficiently."
5.SL.1,Lang/Arts,5,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others’ ideas and expressing their own clearly."
5.SL.1a,Lang/Arts,5,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
5.SL.1b,Lang/Arts,5,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.
5.SL.1c,Lang/Arts,5,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.
5.SL.1d,Lang/Arts,5,SL,,1,d,Speaking and Listening Standards,Comprehension and Collaboration,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.
5.SL.2,Lang/Arts,5,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,"Summarize written a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
5.SL.3,Lang/Arts,5,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.
5.SL.4,Lang/Arts,5,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
5.SL.5,Lang/Arts,5,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes."
5.SL.6,Lang/Arts,5,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation. (See grade 5 Language standards 1 and 3 on page 28 for specific expectations.)"
5.W.1,Lang/Arts,5,W,,1,,Writing Standards,Text Types and Purposes,"Write opinion pieces on topics or texts, supporting a point of view with reasons and information."
5.W.1a,Lang/Arts,5,W,,1,a,Writing Standards,Text Types and Purposes,"Introduce a topic or text clearly, state an opinion, and create an organizational structure in which ideas are logically grouped to support the writer’s purpose."
5.W.1b,Lang/Arts,5,W,,1,b,Writing Standards,Text Types and Purposes,Provide logically ordered reasons that are supported by facts and details.
5.W.1c,Lang/Arts,5,W,,1,c,Writing Standards,Text Types and Purposes,"Link opinion and reasons using words, phrases, and clauses (e.g., consequently, specifically)."
5.W.1d,Lang/Arts,5,W,,1,d,Writing Standards,Text Types and Purposes,Provide a concluding statement or section related to the opinion presented.
5.W.2,Lang/Arts,5,W,,2,,Writing Standards,Text Types and Purposes,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
5.W.2a,Lang/Arts,5,W,,2,a,Writing Standards,Text Types and Purposes,"Introduce a topic clearly, provide a general observation and focus, and group related information logically; include formatting (e.g., headings), illustrations, and multimedia when useful to aiding comprehension."
5.W.2b,Lang/Arts,5,W,,2,b,Writing Standards,Text Types and Purposes,"Develop the topic with facts, definitions, concrete details, quotations, or other information and examples related to the topic."
5.W.2c,Lang/Arts,5,W,,2,c,Writing Standards,Text Types and Purposes,"Link ideas within and across categories of information using words, phrases, and clauses (e.g., in contrast, especially)."
5.W.2d,Lang/Arts,5,W,,2,d,Writing Standards,Text Types and Purposes,Use precise language and domain-specific vocabulary to inform about or explain the topic.
5.W.2e,Lang/Arts,5,W,,2,e,Writing Standards,Text Types and Purposes,Provide a concluding statement or section related to the information or explanation presented.
5.W.3,Lang/Arts,5,W,,3,,Writing Standards,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
5.W.3a,Lang/Arts,5,W,,3,a,Writing Standards,Text Types and Purposes,Orient the reader by establishing a situation and introducing a narrator and/or characters; organize an event sequence that unfolds naturally.
5.W.3b,Lang/Arts,5,W,,3,b,Writing Standards,Text Types and Purposes,"Use narrative techniques, such as dialogue, description, and pacing, to develop experiences and events or show the responses of characters to situations."
5.W.3c,Lang/Arts,5,W,,3,c,Writing Standards,Text Types and Purposes,"Use a variety of transitional words, phrases, and clauses to manage the sequence of events."
5.W.3d,Lang/Arts,5,W,,3,d,Writing Standards,Text Types and Purposes,Use concrete words and phrases and sensory details to convey experiences and events precisely.
5.W.3e,Lang/Arts,5,W,,3,e,Writing Standards,Text Types and Purposes,Provide a conclusion that follows from the narrated experiences or events.
5.W.4,Lang/Arts,5,W,,4,,Writing Standards,Production and Distribution of Writing,"Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
5.W.5,Lang/Arts,5,W,,5,,Writing Standards,Production and Distribution of Writing,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.(Editing for conventions should demonstrate command of Language standards 1–3up to and including grade 5 on page 29.)"
5.W.6,Lang/Arts,5,W,,6,,Writing Standards,Production and Distribution of Writing,"With some guidance and support from adults, use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of two pages in a single sitting."
5.W.7,Lang/Arts,5,W,,7,,Writing Standards,Research to Build and Present Knowledge,Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.
5.W.8,Lang/Arts,5,W,,8,,Writing Standards,Research to Build and Present Knowledge,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources."
5.W.9,Lang/Arts,5,W,,9,,Writing Standards,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
5.W.9a,Lang/Arts,5,W,,9,a,Writing Standards,Research to Build and Present Knowledge,"Apply grade 5 Reading standards to literature (e.g., “Compare and contrast two or more characters, settings, or events in a story or a drama, drawing on specific details in the text [e.g., how characters interact]”)."
5.W.9b,Lang/Arts,5,W,,9,b,Writing Standards,Research to Build and Present Knowledge,"Apply grade 5 Reading standards to informational texts (e.g., “Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point[s]”)."
5.W.10,Lang/Arts,5,W,,10,,Writing Standards,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
