Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
8.L.1,Lang/Arts,8,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
8.L.1a,Lang/Arts,8,L,,1,a,Language Standards,Conventions of Standard English,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences."
8.L.1b,Lang/Arts,8,L,,1,b,Language Standards,Conventions of Standard English,Form and use verbs in the active and passive voice.
8.L.1c,Lang/Arts,8,L,,1,c,Language Standards,Conventions of Standard English,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood."
8.L.1d,Lang/Arts,8,L,,1,d,Language Standards,Conventions of Standard English,Recognize and correct inappropriate shifts in verb voice and mood.*
8.L.2,Lang/Arts,8,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
8.L.2a,Lang/Arts,8,L,,2,a,Language Standards,Conventions of Standard English,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break."
8.L.2b,Lang/Arts,8,L,,2,b,Language Standards,Conventions of Standard English,Use an ellipsis to indicate an omission.
8.L.2c,Lang/Arts,8,L,,2,c,Language Standards,Conventions of Standard English,Spell correctly.
8.L.3,Lang/Arts,8,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
8.L.3a,Lang/Arts,8,L,,3,a,Language Standards,Knowledge of Language,"Use verbs in the active and passive voice and in the conditional and subjunctive mood to achieve particular effects (e.g., emphasizing the actor or the action; expressing uncertainty or describing a state contrary to fact)."
8.L.4,Lang/Arts,8,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies."
8.L.4a,Lang/Arts,8,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
8.L.4b,Lang/Arts,8,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede)."
8.L.4c,Lang/Arts,8,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
8.L.4d,Lang/Arts,8,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
8.L.5,Lang/Arts,8,L,,5,,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
8.L.5a,Lang/Arts,8,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g. verbal irony, puns) in context."
8.L.5b,Lang/Arts,8,L,,5,b,Language Standards,Vocabulary Acquisition and Use,Use the relationship between particular words to better understand each of the words.
8.L.5c,Lang/Arts,8,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute)."
8.L.6,Lang/Arts,8,L,,6,,Language Standards,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
8.RI.1,Lang/Arts,8,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
