Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
4.L.1,Lang/Arts,4,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
4.L.1a,Lang/Arts,4,L,,1,a,Language Standards,Conventions of Standard English,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why)."
4.L.1b,Lang/Arts,4,L,,1,b,Language Standards,Conventions of Standard English,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses."
4.L.1c,Lang/Arts,4,L,,1,c,Language Standards,Conventions of Standard English,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions."
4.L.1d,Lang/Arts,4,L,,1,d,Language Standards,Conventions of Standard English,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag)."
4.L.1e,Lang/Arts,4,L,,1,e,Language Standards,Conventions of Standard English,Form and use prepositional phrases.
4.L.1f,Lang/Arts,4,L,,1,f,Language Standards,Conventions of Standard English,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*"
4.L.1g,Lang/Arts,4,L,,1,g,Language Standards,Conventions of Standard English,"Correctly use frequently confused words (e.g., to, too, two; there, their).*"
4.L.2,Lang/Arts,4,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
4.L.2a,Lang/Arts,4,L,,2,a,Language Standards,Conventions of Standard English,Use correct capitalization.
4.L.2b,Lang/Arts,4,L,,2,b,Language Standards,Conventions of Standard English,Use commas and quotation marks to mark direct speech and quotations from a text.
4.L.2c,Lang/Arts,4,L,,2,c,Language Standards,Conventions of Standard English,Use a comma before a coordinating conjunction in a compound sentence.
4.L.2d,Lang/Arts,4,L,,2,d,Language Standards,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed."
4.L.3,Lang/Arts,4,L,,3,,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
4.L.3a,Lang/Arts,4,L,,3,a,Language Standards,Knowledge of Language,Choose words and phrases to convey ideas precisely.*
4.L.3b,Lang/Arts,4,L,,3,b,Language Standards,Knowledge of Language,Choose punctuation for effect.*
4.L.3c,Lang/Arts,4,L,,3,c,Language Standards,Knowledge of Language,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion)."
